;Marca;Preco;Preco Boleto
113;Placa de Video Afox GeForce GTX 750TI, 4GB, GDDR5, 128-bit, AF750TI-4096D5H1;0;0
114;Placa de Video Afox GeForce GT 610, 2GB, DDR3, 64-Bit, AF610-2048D3L7-V8;0;0
115;Placa de Video Asus GeForce RTX 3080 Ti ROG Strix, 12GB, GDDR6X, 384-bit, ROG-STRIX-RTX3080TI-12G-GAMING;0;0
116;Placa de Video Asus Radeon RX 6750 XT Dual OC Edition, 12GB, GDDR6, 192-bit, DUAL-RX6750XT-O12G;0;0
117;Placa de Video Afox GeForce GT240, 1GB, DDR3, 128-Bit, AF240-1024D3L2;0;0
118;Placa de Video EVGA GeForce GTX 1660 Super SC Ultra, 6GB, 192-bit, 06G-P4-1068-KR;0;0
119;Placa de Video EVGA GeForce RTX 3060 XC, 12GB, GDDR6, 192-bit, 12G-P5-3657-KR;0;0
120;Placa de Video EVGA GeForce RTX 3070 Ti FTW3 Ultra, LHR, 8GB, GDDR6X, 256-bit, 08G-P5-3797-KL;0;0
121;Placa de Video MSI GeForce GTX 1050 TI 4GT OC, 4GB, GDDR5, 128-bit, 912-V809-2272-NAC;0;0
122;Placa de Video Afox Radeon R5 230 1GB DDR3 64-bit, AFR5230-1024D3L4;0;0
123;Placa de Video PNY GeForce GTX 1650, 4GB, GDDR6, 128-bit, VCG16504D6SFMPB1;0;0
124;Placa de Video XFX Radeon RX 6800 XT Speedster, 16GB, GDDR6, 256-bit, RX-68XTALFD9;0;0
125;Placa de Video XFX Radeon RX 6750 XT Speedster, 12GB, GDDR6, 192-bit, RX-675XYTBDP;0;0
126;Placa de Video XFX Radeon RX 6750 XT Ultra Speedster, 12GB, GDDR6, 192-bit, RX-675XYLUDP;0;0
127;Placa de Video XFX Radeon RX 6650 XT Speedster, 8GB, GDDR6, 128-bit, RX-665X8TBDY;0;0
128;Placa de Video XFX Radeon RX 6600 XT, 8GB, GDDR6, 128-bit, RX-66XT8DFDQ;0;0
129;Placa de Video XFX Radeon RX 6600, 8GB, GDDR6, 128-bit, RX-66XL8LFDQ;0;0
130;Placa de Video XFX Radeon RX 6500 XT, 4GB, GDDR6, 64-bit, RX-65XT4DBDQ;0;0
131;Placa de Video PNY Quadro T400, 4GB, GDDR6, 64-bit, VCNT4004GB-PB;0;0
132;Placa de Video MSI GeForce RTX 3070 Suprim LHR, 8GB, GDDR6, 256-bit, 912-V390-412;0;0
133;Placa de Video MSI GeForce RTX 2060 Ventus GP OC, 6GB, GDDR6, 192-bit, 912-V375-804;0;0
134;Placa de Video MSI GeForce RTX 2060 Ventus GP, 6GB, GDDR6, 192-bit, 912-V375-824;0;0
135;Placa de Video MSI GeForce RTX 3070 TI Gaming X Trio, 8GB, GDDR6X, 256-bits, 912-V505-009;0;0
136;Placa de Video MSI GeForce RTX 3070 Ti Suprim X, 8GB, GDDR6X, 256-bit, 912-V505-008;0;0
137;Placa de Video MSI GeForce GTX 1660 Super Ventus XS OC, 6GB, GDDR6, 192-bit, 912-V375-644;0;0
138;Placa de Video Asus GeForce RTX 3060 TI V2 Mini OC Edition, 8GB, GDDR6, 256-bit, DUAL-RTX3060TI-O8G-MINI-V2;0;0
139;Placa de Video Asus Radeon RX 550 Phoenix EVO, 4GB, GDDR5, 128-bit, PH-RX550-4G-EVO;0;0
140;Placa de Video MSI GeForce GTX 1050 Ti Gaming X, 4GB, GDDR5, 128-bit, 912-V335-001;0;0
141;Placa de Video PowerColor Radeon RX 6650 XT Hellhound Spectral Edition OC, 8GB, GDDR6, 128-bit, AXRX-6650XT-8GBD6-3DHLV2/OC;0;0
142;Placa de Video Afox Radeon R5 230, 2GB, DDR3, 64-bit, AFR5230-2048D3L9-V2;0;0
143;Placa de Video PNY Quadro RTX A4000, 16GB, GDDR6, 256-bit, VCNRTXA4000-PB-NAC;0;0
144;Placa de Video Mancer GTX 1650 Amorth X, 4GB, GDDR6, 128-bit, MCR-1650AMT-X1;0;0
145;Placa de Video MSI Radeon RX 6400 Aero ITX, 4GB, GDDR6, 64-bit, 912-V508-006;0;0
146;Placa de Video MSI GeForce RTX 3090 Ventus 3X OC BV, 24GB, GDDR6X, 384-bit, 912-V388-016;0;0
147;Placa de Video MSI GeForce RTX 3090 Ventus 3X OC, 24GB, GDDR6X, 384-bit, 912-V388-064;0;0
148;Placa de Video MSI GeForce RTX 3090 Ventus 3X, 24GB, GDDR6X, 384-bit, 912-V388-019;0;0
149;Placa de Video MSI GeForce RTX 3060 Ti Ventus 2X OCV1, LHR, 8GB, GDDR6, 256-bit, 912-V397-233;0;0
150;Placa de Video MSI GeForce RTX 3060 Ventus 2X OC, 12GB, GDDR6, 192-bit, 912-V397-602;0;0
151;Placa de Video MSI GeForce RTX 3060 Ventus 2X OC, 12GB, GDDR6, 192-bit, 912-V397-600;0;0
152;Placa de Video MSI GeForce RTX 3060 Ventus 2X OC, 12GB, GDDR6, 192-bit, 912-V397-483;0;0
153;Placa de Video MSI GeForce RTX 3060 Gaming Z Trio, 12GB, GDDR6, 192-bit, 912-V390-245;0;0
154;Placa de Video MSI GeForce RTX 3060 Gaming X, 12GB, GDDR6, 192-bit, 912-V397-633;0;0
155;Placa de Video MSI GeForce RTX 3060 Gaming X, 12GB, GDDR6, 192-bit, 912-V397-632;0;0
156;Placa de Video MSI GeForce GTX 1650 Ventus XS OCV1, 4GB, GDDR5, 128-bit, 912-V809-3466;0;0
157;Placa de Video MSI GeForce RTX 3070 Ventus 2X OC, LHR, 8GB, GDDR6, 256-bit, 912-V390-280;0;0
158;Placa de Video PNY GeForce RTX 3050 XLR8 Epic-X RGB, 8GB, GDDR6, 128-Bit, VCG30508DFXPPB;0;0
159;Placa de Video Asus GeForce RTX 3060 ROG Strix, LHR, 12GB, GDDR6, 192-bit, ROG-STRIX-RTX3060-12G-V2-GAMING;0;0
160;Placa de Video Galax GeForce RTX 2060 Plus 1-Click OC, 12GB, GDDR6, 192-bit, 26NRL7HP68NC;0;0
161;Placa de Video MSI GeForce RTX 3050 Gaming X, 8GB, GDDR6, 128-bit, 312-V397-463;0;0
162;Placa de Video MSI GeForce RTX 3050 Ventus 2X, 8GB, GDDR6, 128-bit, 912-V397-448;0;0
163;Placa de Video MSI GeForce GTX 1650 D6 Ventus XS, 4GB, GDDR6, 128-bit, 912-V809-3470;0;0
164;Placa de Video MSI GeForce GTX 1650 D6 Ventus XS OCV1, 4GB, GDDR6, 128-bit, 912-V809-4057-NAC;0;0
165;Placa de Video Sapphire Radeon RX 6650 XT Pulse, 8GB, GDDR6, 128-bit, 11319-03-20G;0;0
166;Placa de Video Sapphire Radeon RX 6650 XT Nitro+, 8GB, GDDR6, 128-bit, 11319-01-20G;0;0
167;Placa de Video Sapphire Radeon RX 6750 XT Nitro+, 12GB, GDDR6, 192-bit, 11318-01-20G;0;0
168;Placa de Video Sapphire Radeon RX 6950 XT Nitro+, 16GB, GDDR6, 256-bit, 11317-02-20G;0;0
169;Placa de Video Sapphire Radeon RX 6750 XT Pulse, 12GB, GDDR6, 192-bit, 11318-03-20G;0;0
170;Placa de Video Sapphire Radeon RX 6950 XT Nitro+ Pure, 16GB, GDDR6, 256-bit, 11317-04-20G;0;0
171;Placa de Video EVGA GeForce RTX 3070 Ti XC3 Ultra Gaming, LHR, 8GB, GDDR6X, 256-bit, 08G-P5-3785-KL;0;0
172;Placa de Video EVGA GeForce RTX 3070 XC3 Black Gaming, 8GB, GDDR6, 256-bit, 08G-P5-3751-KL;0;0
173;Placa de Video EVGA GeForce RTX 3060 Ti XC Gaming, LHR, 8GB, GDDR6, 256-bit, 08G-P5-3663-KL;0;0
174;Placa de Video EVGA GeForce RTX 3060 XC Black Gaming, 12GB, GDDR6, 192-bit, 12G-P5-3655-KR;0;0
175;Placa de Video EVGA RTX 3050 XC Gaming, 8GB, GDDR6, 128-bit, 08G-P5-3553-KR;0;0
176;Placa de Video EVGA GeForce RTX 3050 XC Black Gaming, 8GB, GDDR6, 128-bit, 08G-P5-3551-KR;0;0
177;Placa de Video MSI GeForce RTX 2060 Ventus GP OC, 6GB, GDDR6, 192-bit, 912-V375-693;0;0
178;Placa de Video MSI GeForce RTX 2060 Ventus GP OC, 6GB, GDDR6, 192-bit, 912-V375-808;0;0
179;Placa de Video MSI GeForce RTX 2060 Ventus GP OC, 6GB, GDDR6, 192-bit, 912-V375-665;0;0
180;Placa de Video MSI GeForce RTX 2060 Ventus OC, 12GB, GDDR6, 192-bit, 912-V375-684;0;0
