index	marca	preco
160	Cadeira Gamer Husky Gaming Blizzard, Preto e Vermelho, Com Almofadas, Reclinável, Descanso de Braço 2D - HBL-BR	R$ 949,99
161	Cadeira Gamer Husky Gaming Blizzard, Preto e Branco, Com Almofadas, Reclinável, Descanso de Braço 2D - HBL-BW	R$ 949,99
162	Cadeira Gamer Corsair T2 Road Warrior, Até 136Kg, Apoio de Braço 4D, com Almofadas, Reclinável, Cilindro de Gás Classe 4, Preto e Amarelo - CF-9010010-WW	R$ 2.199,99
163	Cadeira Gamer Corsair T1 Race, Até 120Kg, Apoio de Braços 4D, com Almofadas, Reclinável, Cilindro de Gás Classe 4, Preto e Amarelo - CF-9010015-WW	R$ 1.789,99
164	Cadeira Gamer Flexinter Raven X-10, Até 150Kg, Com Almofadas, Descanso de Braço 4D, Encosto Reclinável, Trava de Inclinação, Preto e Azul - CDRVX10PA	R$ 879,99
165	Cadeira Gamer Husky Gaming Blizzard 900, Preto e Azul, Com Almofadas, Reclinável com Sistema Frog, Descanso de Braço 3D - HGMA087	R$ 1.579,99
166	Cadeira Gamer Asus ROG Chariot, Aura RGB, Braço 4D, Preto - SL300C	R$ 5.799,99
167	Cadeira Gamer Fortrek Vickers, Black/Red - 70520	R$ 819,99
168	Cadeira Gamer ThunderX3 BC7 Larger, Black/Cyan - 68841	R$ 2.199,99
169	Cadeira Gamer Flexinter Raven X-10, Até 150Kg, com Almofadas, Descanso  de Braço 4D, Encosto Reclinável, Trava de Inclinação, Preto e Vermelho - CDRVX10PV	R$ 879,99
170	Cadeira Gamer Husky Gaming Avalanche 900, Preto e Vermelho, Com Almofadas, Reclinável com Sistema Frog, Descanso de Braço 3D - HGMA083	R$ 1.369,99
171	Rodízio Preto e Azul para Cadeira Husky Gaming Storm, Blizzard, Hailstorm, Snow, Polar - PREP059	R$ 129,99
172	Cadeira Gamer Husky Gaming Storm, Branco e Rosa, Com Almofadas, Reclinável, Descanso de Braço 4D - HST-PW	R$ 899,99
173	Cadeira Gamer DT3 Sports Nero, Até 125 Kg, Com Almofada, Reclinável, Apoio de Braço 3D, Grafite - 13368-1	R$ 1.649,99
