;marca;preco
199;Cadeira Gamer DT3 Elise, Até 130 Kg, Com Almofadas, Reclinável, Descanso de Braço 1D, Preto e Azul - 13437-8;R$ 1.489,99
200;Cadeira Gamer DT3 Gamma Fabric, Até 130 Kg, Com Almofadas, Reclinável, Descanso de Braço 3D, Preto - 13491-8;R$ 1.699,99
201;Cadeira Gamer Fortrek Vickers, Black/Red - 70520;R$ 799,99
202;Cadeira Gamer Husky Gaming Blizzard 900, Preto, Com Almofadas, Reclinável com Sistema Frog, Descanso de Braço 3D - HGMA062;R$ 1.579,99
203;Cadeira Gamer TC3 ThunderX3, Encosto Reclinável, Braço 2D, 125Kg, Preto/Amarelo - 72996;R$ 1.189,99
204;Rodízio para Cadeira Husky Gaming Snow, Polar, Frost - PREP038;R$ 54,99
205;Cadeira Gamer Husky Gaming Storm, Branco e Rosa, Com Almofadas, Reclinável, Descanso de Braço 4D - HST-PW;R$ 929,99
206;Cadeira Gamer Asus Rog Chariot Core SL300, Preto, Almofada Lombar, Braços 4D, Cilindro de Gás - 90GC00D0-MSG010;R$ 3.899,99
207;Cadeira Gamer Corsair TC200 Fabric, Até 120Kg, Apoio de Braços 4D, Com almofadas, Reclinável, Cilindro de Gás Classe 4, Cinza e Branco - CF-9010048-WW;R$ 2.499,99
208;Cadeira Gamer Alpha Gamer Alegra Fabric, Até 150 kg, Apoio de Braço 4D, Mecanismo Frog, Apoio Lombar Ajustável, Rosa - AGALEGRA-F-PK;R$ 1.899,99
